Timestamp,Year Level (last semester),College (last semester),Sex,What was your General Weighted Average (GWA) for the most recent semester?,How many subjects have you failed in the most recent semester?,"Approximately, what was your attendance rate in classes last semester?",How many academic units were you enrolled in during the most recent (last) semester?,Part Time Job,"If you answered ""Yes"" to the question above, how many hours did you work per week?","On average, how many hours did you study on weekdays?","On average, how many hours did you study on weekends?","How often did you submit school requirements(e.g. Assignments, Projects) late?","On average, how many hours did you sleep per night?","On average, how many hours did you spend gaming per day?","Were you involved in extracurricular activities (e.g., student orgs, sports, volunteering)?","If you answered ""Yes"" to the question above, how many hours per week did you spend on extracurricular activities in the last semester?",Stress level,Financial Difficulty,Level of Social Support,Preferred Learning Style,At-Risk/Not At-Risk
10/29/2025 12:00,1,college of education,female,3.16,1,76,15,no,0,2.7,3.1,never,5.8,6.4,no,0,4,5,4,visual,1
11/05/2025 23:00,4,college of engineering,prefer not to say,1.3,1,81,18,no,0,4.1,0.5,often,4.0,0.4,no,0,4,3,1,reading/writing,1
11/12/2025 15:00,3,college of education,female,2.42,0,82,15,no,0,0.5,4.2,rarely,6.7,1.4,regularly,2,5,1,3,reading/writing,1
10/07/2025 20:00,4,college of nursing,male,2.67,2,62,15,yes,8,1.3,2.3,sometimes,6.5,4.4,no,0,5,4,3,visual,1
10/21/2025 17:00,1,college of human ecology,male,2.07,1,72,15,yes,15,2.0,3.5,sometimes,7.0,1.0,no,0,4,1,4,kinesthetic,1
10/12/2025 03:00,3,college of agriculture,male,4.0,2,83,15,yes,8,1.5,2.2,rarely,6.8,1.1,occasionally,5,3,4,1,kinesthetic,1
10/11/2025 18:00,2,college of information sciences and computing,prefer not to say,2.15,0,95,18,no,0,3.2,3.8,rarely,6.7,1.2,no,0,3,2,3,visual,0
10/16/2025 16:00,3,college of education,female,2.16,0,95,21,yes,12,1.3,2.4,never,7.3,2.0,regularly,2,2,2,5,auditory,0
11/06/2025 07:00,3,college of information sciences and computing,female,1.42,0,97,18,yes,8,3.7,2.9,never,7.9,1.0,regularly,4,2,3,3,kinesthetic,0
10/11/2025 00:00,3,college of arts and sciences,male,2.05,0,98,15,no,0,2.5,3.1,rarely,6.0,0.4,occasionally,2,3,2,3,kinesthetic,0
11/26/2025 09:00,2,college of nursing,prefer not to say,3.94,1,63,18,yes,8,1.5,1.3,sometimes,4.0,0.7,no,0,3,3,4,visual,1
11/08/2025 15:00,3,college of arts and sciences,prefer not to say,2.29,0,100,15,no,0,1.9,2.0,rarely,7.0,1.8,no,0,3,1,5,kinesthetic,0
11/26/2025 12:00,1,college of forestry and environmental science,female,2.37,0,70,21,no,0,2.7,1.8,never,7.0,1.0,heavily,5,4,2,2,visual,1
10/30/2025 13:00,1,college of forestry and environmental science,female,2.33,1,81,15,yes,8,0.5,0.5,sometimes,6.1,3.2,regularly,2,5,2,1,reading/writing,1
11/17/2025 02:00,4,college of engineering,female,2.2,0,67,21,no,0,1.1,2.8,never,5.7,3.8,no,0,4,2,3,visual,1
11/04/2025 01:00,4,college of forestry and environmental science,male,2.28,1,88,18,no,0,2.6,2.5,never,6.9,2.1,no,0,2,3,3,kinesthetic,0
11/05/2025 09:00,1,college of information sciences and computing,prefer not to say,1.99,0,93,21,no,0,4.1,2.5,rarely,7.5,0.1,no,0,2,4,4,auditory,0
10/02/2025 06:00,2,college of agriculture,male,3.22,0,68,18,yes,12,1.2,3.2,rarely,5.9,0.0,regularly,10,2,4,2,kinesthetic,1
10/31/2025 23:00,4,college of business and management,prefer not to say,2.16,1,89,21,no,0,2.2,2.0,sometimes,6.7,1.4,no,0,4,4,3,reading/writing,1
11/20/2025 15:00,3,college of agriculture,prefer not to say,1.87,2,61,15,no,0,1.4,4.0,never,6.5,3.4,no,0,4,3,2,auditory,1
11/06/2025 17:00,2,college of nursing,female,1.57,0,99,15,yes,8,1.4,2.4,never,6.1,0.7,regularly,2,2,2,3,reading/writing,0
11/13/2025 22:00,2,college of business and management,male,2.78,1,88,18,no,0,0.9,2.0,sometimes,4.6,0.1,no,0,5,3,3,visual,1
11/05/2025 22:00,1,college of education,male,1.96,3,69,15,yes,8,2.9,0.8,rarely,4.7,0.9,occasionally,2,5,3,4,auditory,1
10/03/2025 20:00,1,college of human ecology,female,1.86,0,89,21,yes,12,2.5,1.6,never,7.6,0.6,occasionally,6,3,4,4,visual,0
10/29/2025 05:00,2,college of arts and sciences,male,2.85,2,85,15,yes,12,0.5,3.0,rarely,4.9,6.4,no,0,5,2,2,auditory,1
11/13/2025 23:00,2,college of engineering,prefer not to say,1.81,0,94,18,yes,8,2.0,5.1,never,7.5,2.4,occasionally,2,2,3,5,auditory,0
10/17/2025 05:00,1,college of agriculture,male,4.0,1,70,21,yes,15,1.6,1.6,rarely,5.7,0.1,heavily,2,3,4,1,reading/writing,1
10/30/2025 09:00,2,college of information sciences and computing,prefer not to say,1.97,0,94,18,no,0,3.2,6.6,sometimes,7.9,0.5,occasionally,6,2,2,5,auditory,0
11/17/2025 18:00,3,college of education,female,2.79,1,76,18,no,0,1.5,3.2,sometimes,4.0,3.4,no,0,4,3,2,auditory,1
10/11/2025 11:00,2,college of agriculture,prefer not to say,2.02,0,85,18,no,0,2.1,3.0,never,7.4,0.3,heavily,4,2,2,3,visual,0
11/24/2025 19:00,4,college of business and management,female,2.92,1,83,15,yes,12,1.2,2.3,rarely,5.1,0.7,no,0,3,3,2,visual,1
10/23/2025 23:00,1,college of business and management,female,3.06,0,71,21,yes,8,2.2,0.5,rarely,4.3,0.5,no,0,2,4,4,kinesthetic,1
10/29/2025 19:00,1,college of engineering,male,2.06,0,89,18,no,0,2.9,3.5,never,6.2,0.1,occasionally,2,1,2,5,reading/writing,0
10/12/2025 04:00,4,college of business and management,male,1.35,0,97,15,no,0,4.1,5.1,sometimes,6.8,0.4,regularly,2,3,2,3,kinesthetic,0
11/06/2025 04:00,4,college of agriculture,female,4.0,0,77,18,no,0,3.0,3.4,often,6.2,0.3,no,0,5,3,1,kinesthetic,1
11/23/2025 17:00,4,college of nursing,prefer not to say,1.82,0,99,15,yes,8,4.5,2.8,rarely,7.2,0.7,regularly,2,1,1,3,auditory,0
10/03/2025 14:00,1,college of business and management,prefer not to say,1.67,0,96,21,no,0,2.8,3.7,rarely,6.6,0.1,no,0,2,2,3,reading/writing,0
11/05/2025 01:00,4,college of arts and sciences,female,2.61,1,88,15,no,0,1.5,3.8,sometimes,6.2,4.3,no,0,3,1,1,visual,1
10/10/2025 20:00,3,college of forestry and environmental science,female,3.32,1,90,15,no,0,1.2,2.0,sometimes,5.8,2.5,occasionally,2,5,3,2,visual,1
10/01/2025 09:00,3,college of business and management,female,2.52,3,86,18,no,0,1.7,5.4,sometimes,4.0,1.4,occasionally,2,3,2,3,reading/writing,1
10/03/2025 08:00,4,college of arts and sciences,male,2.08,0,86,18,yes,8,2.2,3.0,sometimes,4.7,0.4,no,0,4,4,3,visual,1
11/19/2025 10:00,2,college of engineering,prefer not to say,3.35,1,64,15,yes,12,1.3,2.3,often,5.9,0.2,no,0,2,4,4,auditory,1
11/02/2025 11:00,2,college of information sciences and computing,male,1.58,0,85,18,yes,12,2.3,3.3,never,8.2,0.2,no,0,4,2,5,reading/writing,0
11/05/2025 17:00,4,college of engineering,male,2.16,0,87,18,no,0,2.7,2.0,rarely,6.2,0.0,occasionally,4,3,2,5,visual,0
11/26/2025 14:00,3,college of agriculture,female,1.48,0,99,15,yes,8,3.0,3.6,never,6.8,1.0,occasionally,4,2,3,3,visual,0
11/21/2025 04:00,1,college of forestry and environmental science,prefer not to say,1.86,0,88,18,no,0,2.5,3.6,sometimes,6.7,0.5,heavily,2,2,2,3,visual,0
10/05/2025 07:00,4,college of business and management,female,3.04,0,81,21,yes,8,1.0,1.5,rarely,6.2,0.5,no,0,3,4,1,reading/writing,1
11/06/2025 01:00,2,college of engineering,male,1.58,0,98,21,no,0,2.8,3.4,never,7.5,1.8,regularly,2,2,3,4,visual,0
11/03/2025 03:00,4,college of human ecology,male,3.81,2,67,18,yes,15,1.1,2.6,sometimes,7.5,1.5,occasionally,2,3,3,2,auditory,1
11/23/2025 04:00,1,college of agriculture,female,3.46,0,75,15,no,0,3.0,3.0,rarely,4.1,1.0,no,0,5,4,2,reading/writing,1
11/21/2025 09:00,2,college of education,prefer not to say,2.43,1,73,21,yes,8,3.0,1.8,sometimes,5.8,2.1,regularly,2,2,4,3,auditory,1
10/18/2025 09:00,2,college of agriculture,prefer not to say,2.98,1,72,15,yes,8,0.9,1.6,sometimes,6.9,0.7,no,0,5,3,4,visual,1
11/19/2025 04:00,3,college of education,female,1.5,1,87,18,no,0,3.4,3.0,never,6.4,0.7,occasionally,4,4,2,3,visual,0
10/03/2025 03:00,4,college of education,male,1.73,1,90,18,yes,12,2.3,1.0,never,7.0,1.2,no,0,3,1,5,auditory,0
10/21/2025 10:00,3,college of agriculture,prefer not to say,2.64,1,68,21,no,0,1.6,2.1,often,5.5,2.8,occasionally,5,3,4,1,visual,1
10/11/2025 05:00,1,college of information sciences and computing,prefer not to say,2.49,0,100,21,yes,8,1.0,3.7,never,6.0,0.3,no,0,3,4,4,visual,0
11/05/2025 02:00,3,college of business and management,male,2.7,2,90,15,yes,15,2.2,2.7,rarely,4.0,1.2,no,0,4,2,2,reading/writing,1
